Movie_Name,Emotions
Subtitles_Final_Dataset/POSTVIOLENCE SUBTITLES\6Underground1.txt,"['Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Sad', 'Happy', 'Sad', 'Happy', 'Surprise', 'Surprise', 'Surprise', 'Happy', 'Surprise', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy', 'Fear', 'Happy', 'Happy', 'Happy', 'Surprise', 'Surprise', 'Sad', 'Happy', 'Happy', 'Surprise', 'Sad']"
Subtitles_Final_Dataset/POSTVIOLENCE SUBTITLES\6Underground2.txt,"['Sad', 'Happy', 'Happy', 'Sad', 'Happy', 'Happy', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy', 'Surprise', 'Happy', 'Sad', 'Happy', 'Surprise', 'Happy', 'Sad', 'Angry', 'Happy', 'Sad', 'Fear', 'Surprise', 'Happy', 'Happy', 'Happy', 'Fear', 'Angry']"
Subtitles_Final_Dataset/POSTVIOLENCE SUBTITLES\Peaky Blinders.txt,"['Happy', 'Surprise', 'Surprise', 'Sad', 'Happy', 'Happy', 'Surprise', 'Fear', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy', 'Happy', 'Happy', 'Happy', 'Angry', 'Surprise', 'Happy', 'Angry', 'Fear', 'Surprise', 'Happy', 'Happy', 'Sad']"
Subtitles_Final_Dataset/POSTVIOLENCE SUBTITLES\SkyFall1.txt,"['Happy', 'Happy', 'Sad', 'Sad']"
Subtitles_Final_Dataset/POSTVIOLENCE SUBTITLES\SkyFall2.txt,"['Surprise', 'Fear', 'Happy', 'Happy', 'Fear', 'Happy', 'Happy', 'Happy', 'Surprise', 'Fear', 'Happy', 'Surprise', 'Surprise', 'Fear', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Surprise', 'Surprise', 'Sad', 'Happy', 'Happy', 'Angry', 'Surprise', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Sad', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy', 'Happy', 'Happy', 'Happy', 'Surprise']"
Subtitles_Final_Dataset/POSTVIOLENCE SUBTITLES\SkyFall3.txt,"['Angry', 'Happy', 'Fear', 'Happy', 'Sad', 'Happy', 'Fear', 'Surprise', 'Happy']"
Subtitles_Final_Dataset/POSTVIOLENCE SUBTITLES\SkyFall4.txt,"['Fear', 'Surprise', 'Happy', 'Surprise', 'Fear', 'Surprise', 'Happy', 'Happy', 'Happy', 'Happy', 'Surprise', 'Sad', 'Happy', 'Happy', 'Sad', 'Happy', 'Surprise', 'Surprise', 'Happy', 'Surprise', 'Fear', 'Happy', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy', 'Fear', 'Angry', 'Happy', 'Happy', 'Sad', 'Happy', 'Fear']"
Subtitles_Final_Dataset/POSTVIOLENCE SUBTITLES\Wrath of man 1.txt,"['Sad', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy', 'Fear', 'Happy', 'Sad', 'Fear', 'Happy', 'Happy', 'Fear', 'Happy', 'Fear', 'Angry', 'Happy', 'Surprise', 'Surprise', 'Sad', 'Happy', 'Fear', 'Surprise', 'Surprise', 'Surprise', 'Happy', 'Sad', 'Surprise', 'Sad', 'Happy', 'Surprise', 'Fear', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Fear', 'Fear', 'Fear', 'Happy', 'Happy', 'Sad', 'Happy', 'Happy']"
Subtitles_Final_Dataset/POSTVIOLENCE SUBTITLES\Wrath of man 2.txt,"['Fear', 'Happy', 'Happy', 'Fear', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Sad', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Sad', 'Happy', 'Fear', 'Sad', 'Surprise', 'Happy', 'Surprise', 'Happy', 'Surprise', 'Fear', 'Happy']"
Subtitles_Final_Dataset/POSTVIOLENCE SUBTITLES\Wrath of man 3.txt,"['Happy', 'Fear', 'Sad', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Sad', 'Happy', 'Sad', 'Sad', 'Happy', 'Happy', 'Sad', 'Happy', 'Surprise', 'Surprise', 'Surprise', 'Surprise', 'Surprise', 'Surprise', 'Happy', 'Surprise', 'Surprise', 'Surprise', 'Happy', 'Sad', 'Happy', 'Happy', 'Fear', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Angry']"
Subtitles_Final_Dataset/POSTVIOLENCE SUBTITLES\Wrath of man 4.txt,"['Happy', 'Happy']"
