Movie_Name,Emotions
Subtitles_Final_Dataset/Violence Subtitles\6Underground1.txt,[]
Subtitles_Final_Dataset/Violence Subtitles\6Underground2.txt,"['Happy', 'Happy', 'Sad', 'Happy', 'Happy', 'Surprise', 'Happy', 'Sad', 'Happy', 'Happy', 'Happy']"
Subtitles_Final_Dataset/Violence Subtitles\BlackPanther1.txt,"['Happy', 'Happy', 'Fear', 'Happy', 'Happy', 'Surprise', 'Happy', 'Fear']"
Subtitles_Final_Dataset/Violence Subtitles\BlackPanther3.txt,"['Fear', 'Happy', 'Happy', 'Surprise', 'Sad', 'Angry', 'Fear', 'Surprise', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy', 'Sad', 'Happy', 'Surprise', 'Fear', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy']"
Subtitles_Final_Dataset/Violence Subtitles\Peaky Blinders.txt,[]
Subtitles_Final_Dataset/Violence Subtitles\SkyFall2.txt,"['Happy', 'Happy', 'Happy', 'Sad', 'Happy']"
Subtitles_Final_Dataset/Violence Subtitles\SkyFall3.txt,"['Surprise', 'Happy', 'Happy', 'Sad', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy', 'Happy', 'Happy']"
Subtitles_Final_Dataset/Violence Subtitles\Wrath of man 1.txt,"['Happy', 'Happy', 'Happy', 'Sad', 'Sad', 'Happy', 'Surprise', 'Happy', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy', 'Happy', 'Sad', 'Fear', 'Sad', 'Happy', 'Happy', 'Fear', 'Happy', 'Surprise', 'Happy', 'Happy']"
Subtitles_Final_Dataset/Violence Subtitles\Wrath of man 2.txt,"['Surprise', 'Surprise', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy']"
Subtitles_Final_Dataset/Violence Subtitles\Wrath of man 3.txt,"['Happy', 'Happy', 'Happy', 'Angry', 'Surprise', 'Happy', 'Sad', 'Happy', 'Happy', 'Sad', 'Happy', 'Surprise', 'Surprise', 'Fear', 'Surprise', 'Happy', 'Sad', 'Sad', 'Happy', 'Happy', 'Angry', 'Happy', 'Fear', 'Fear', 'Fear', 'Surprise', 'Happy', 'Sad', 'Happy', 'Happy', 'Surprise', 'Fear', 'Fear', 'Surprise', 'Surprise', 'Sad', 'Happy', 'Surprise', 'Surprise', 'Surprise', 'Happy', 'Happy', 'Happy', 'Happy', 'Sad', 'Happy', 'Happy', 'Happy', 'Surprise', 'Sad', 'Surprise', 'Sad']"
Subtitles_Final_Dataset/Violence Subtitles\Wrath of man 4.txt,"['Sad', 'Fear', 'Sad', 'Happy', 'Surprise', 'Happy', 'Surprise', 'Happy', 'Sad', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy']"
